radical_level,radical_name,radical_meaning,radical_characters,radical_status,radical_srs,match_type,kanji_level,kanji_character,kanji_meaning,kanji_srs,radical_url,kanji_url
9,heavy,Heavy,重,learned,9,character,9,重,Heavy,9,https://www.wanikani.com/radicals/heavy,https://www.wanikani.com/kanji/%E9%87%8D
9,history,History,史,learned,9,character,19,史,History,8,https://www.wanikani.com/radicals/history,https://www.wanikani.com/kanji/%E5%8F%B2
9,machine,Machine,台,learned,9,character,3,台,Machine,9,https://www.wanikani.com/radicals/machine,https://www.wanikani.com/kanji/%E5%8F%B0
9,machine,Machine,台,learned,9,meaning,20,機,Machine,7,https://www.wanikani.com/radicals/machine,https://www.wanikani.com/kanji/%E6%A9%9F
9,spicy,Spicy,辛,learned,9,character,9,辛,Spicy,9,https://www.wanikani.com/radicals/spicy,https://www.wanikani.com/kanji/%E8%BE%9B
9,spring,Spring,𡗗,learned,9,meaning,15,春,Spring,9,https://www.wanikani.com/radicals/spring,https://www.wanikani.com/kanji/%E6%98%A5
9,spring,Spring,𡗗,learned,9,meaning,12,泉,Spring,9,https://www.wanikani.com/radicals/spring,https://www.wanikani.com/kanji/%E6%B3%89
10,alcohol,Alcohol,酉,learned,9,meaning,10,酒,Alcohol,9,https://www.wanikani.com/radicals/alcohol,https://www.wanikani.com/kanji/%E9%85%92
10,bundle,Bundle,束,learned,9,character,14,束,Bundle,6,https://www.wanikani.com/radicals/bundle,https://www.wanikani.com/kanji/%E6%9D%9F
10,chinese,Chinese,𦰩,learned,9,meaning,10,漢,Chinese,9,https://www.wanikani.com/radicals/chinese,https://www.wanikani.com/kanji/%E6%BC%A2
10,fault,Fault,失,learned,9,character,7,失,Fault,9,https://www.wanikani.com/radicals/fault,https://www.wanikani.com/kanji/%E5%A4%B1
10,geoduck,Geoduck,頁,learned,9,character,10,頁,Page,9,https://www.wanikani.com/radicals/geoduck,https://www.wanikani.com/kanji/%E9%A0%81
10,kiss,Kiss,各,learned,9,character,22,各,Each,8,https://www.wanikani.com/radicals/kiss,https://www.wanikani.com/kanji/%E5%90%84
10,music,Music,曲,learned,9,character,6,曲,Music,9,https://www.wanikani.com/radicals/music,https://www.wanikani.com/kanji/%E6%9B%B2
10,sell,Sell,売,learned,9,character,9,売,Sell,9,https://www.wanikani.com/radicals/sell,https://www.wanikani.com/kanji/%E5%A3%B2
10,sell,Sell,売,learned,9,meaning,24,販,Sell,6,https://www.wanikani.com/radicals/sell,https://www.wanikani.com/kanji/%E8%B2%A9
10,sick,Sick,疒,learned,9,meaning,10,病,Sick,9,https://www.wanikani.com/radicals/sick,https://www.wanikani.com/kanji/%E7%97%85
10,straight,Straight,直,learned,9,character,10,直,Straight,9,https://www.wanikani.com/radicals/straight,https://www.wanikani.com/kanji/%E7%9B%B4
11,few,Few,少,learned,9,character,3,少,Few,9,https://www.wanikani.com/radicals/few,https://www.wanikani.com/kanji/%E5%B0%91
11,humble,Humble,申,learned,9,character,4,申,Say Humbly,9,https://www.wanikani.com/radicals/humble,https://www.wanikani.com/kanji/%E7%94%B3
11,older-brother,Older Brother,兄,learned,9,character,5,兄,Older Brother,9,https://www.wanikani.com/radicals/older-brother,https://www.wanikani.com/kanji/%E5%85%84
11,orders,Orders,令,learned,9,character,11,令,Orders,9,https://www.wanikani.com/radicals/orders,https://www.wanikani.com/kanji/%E4%BB%A4
11,root,Root,艮,learned,9,meaning,12,根,Root,9,https://www.wanikani.com/radicals/root,https://www.wanikani.com/kanji/%E6%A0%B9
11,simple,Simple,単,learned,9,character,15,単,Simple,9,https://www.wanikani.com/radicals/simple,https://www.wanikani.com/kanji/%E5%8D%98
11,skin,Skin,皮,learned,9,character,5,皮,Skin,9,https://www.wanikani.com/radicals/skin,https://www.wanikani.com/kanji/%E7%9A%AE
11,sound,Sound,音,learned,9,character,5,音,Sound,9,https://www.wanikani.com/radicals/sound,https://www.wanikani.com/kanji/%E9%9F%B3
12,beforehand,Beforehand,予,learned,9,character,9,予,Beforehand,9,https://www.wanikani.com/radicals/beforehand,https://www.wanikani.com/kanji/%E4%BA%88
12,business,Business,業,learned,9,character,10,業,Business,9,https://www.wanikani.com/radicals/business,https://www.wanikani.com/kanji/%E6%A5%AD
12,early,Early,早,learned,9,character,4,早,Early,9,https://www.wanikani.com/radicals/early,https://www.wanikani.com/kanji/%E6%97%A9
12,jackhammer,Jackhammer,示,learned,9,character,22,示,Indicate,7,https://www.wanikani.com/radicals/jackhammer,https://www.wanikani.com/kanji/%E7%A4%BA
12,request,Request,求,learned,8,character,10,求,Request,9,https://www.wanikani.com/radicals/request,https://www.wanikani.com/kanji/%E6%B1%82
12,request,Request,求,learned,8,meaning,29,請,Request,5,https://www.wanikani.com/radicals/request,https://www.wanikani.com/kanji/%E8%AB%8B
12,request,Request,求,learned,8,meaning,14,願,Request,9,https://www.wanikani.com/radicals/request,https://www.wanikani.com/kanji/%E9%A1%98
12,together,Together,共,learned,9,character,11,共,Together,9,https://www.wanikani.com/radicals/together,https://www.wanikani.com/kanji/%E5%85%B1
12,younger-brother,Younger Brother,弟,learned,9,character,5,弟,Younger Brother,9,https://www.wanikani.com/radicals/younger-brother,https://www.wanikani.com/kanji/%E5%BC%9F
13,body,Body,身,learned,9,meaning,5,体,Body,9,https://www.wanikani.com/radicals/body,https://www.wanikani.com/kanji/%E4%BD%93
13,body,Body,身,learned,9,character,8,身,Body,9,https://www.wanikani.com/radicals/body,https://www.wanikani.com/kanji/%E8%BA%AB
13,bookshelf,Bookshelf,冊,learned,9,character,19,冊,Book Counter,9,https://www.wanikani.com/radicals/bookshelf,https://www.wanikani.com/kanji/%E5%86%8A
13,can,Can,缶,learned,9,character,13,缶,Can,9,https://www.wanikani.com/radicals/can,https://www.wanikani.com/kanji/%E7%BC%B6
