item_id,level,name,reading,english_name,type,srs_stage_group,srs_stage,document_url,reason_skipped
3758,15,式,しき,Ceremony,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%BC%8F,known
3759,15,春,はる,Spring,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%98%A5,known
3768,15,毒,どく,Poison,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%AF%92,known
3820,16,品,しな,Article,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%93%81,known
3838,16,急ぐ,いそぐ,To Hurry,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%80%A5%E3%81%90,known
3843,16,書く,かく,To Write,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%9B%B8%E3%81%8F,known
3856,16,笑う,わらう,To Laugh,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%AC%91%E3%81%86,known
3859,16,箱,はこ,Box,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E7%AE%B1,known
3860,16,荷物,にもつ,Luggage,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%8D%B7%E7%89%A9,known
3861,16,証,あかし,Evidence,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E8%A8%BC,known
3881,14,消える,きえる,To Disappear,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%B6%88%E3%81%88%E3%82%8B,known
3964,17,原因,げんいん,Cause,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%8E%9F%E5%9B%A0,known
3971,17,塩,しお,Salt,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%A1%A9,known
3978,17,席,せき,Seat,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%B8%AD,known
3988,17,幻,まぼろし,Illusion,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%B9%BB,known
3991,17,底,そこ,Bottom,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E5%BA%95,known
3997,17,恋,こい,Love,vocabulary,Initiation,0,https://www.wanikani.com/vocabulary/%E6%81%8B,known
